node,class,lambda0
100001,1,0.01675
100002,1,0.008083333333333333
100003,1,0.010083333333333333
100004,1,0.0
100005,1,0.09641666666666665
100006,1,0.04816666666666666
100007,1,0.06583333333333334
100008,1,0.13875
100009,1,0.0895
100010,1,0.11608333333333334
100011,1,0.03141666666666667
100012,1,0.10783333333333334
100013,1,0.07258333333333333
100014,1,0.07266666666666666
100015,1,0.036083333333333335
100016,1,0.02375
100017,1,0.025750000000000002
100018,1,0.055
100019,1,0.025833333333333333
100020,1,0.02366666666666667
100021,1,0.05125
100022,1,0.07333333333333333
100023,1,0.11224999999999999
100024,1,0.03675
100025,1,0.04666666666666666
100026,1,0.02475
100027,1,0.023416666666666665
100028,1,0.06508333333333333
100029,1,0.00575
100030,1,0.013500000000000002
100031,1,0.0009166666666666668
100032,1,0.0485
100033,1,0.00525
100034,1,0.03825
100035,1,0.00475
100036,1,0.084
100037,1,0.0069166666666666664
100038,1,0.020666666666666663
100039,1,0.006333333333333333
100040,1,0.044083333333333335
100041,1,0.029916666666666664
100042,1,0.020916666666666667
100043,1,0.01975
100044,1,0.017
100045,1,0.019416666666666665
100046,1,0.01916666666666667
100047,1,0.025583333333333333
100048,1,0.03908333333333333
100049,1,0.025916666666666664
100050,1,0.019666666666666666
100051,1,0.060666666666666674
100052,1,0.04766666666666666
100053,1,0.05783333333333333
100054,1,0.02108333333333333
100055,1,0.028
100056,1,0.042916666666666665
100057,1,0.026583333333333334
100058,1,0.05491666666666666
100059,1,0.012333333333333333
100060,1,0.04108333333333333
100061,1,0.01933333333333333
100062,1,0.043416666666666666
100063,1,0.030416666666666665
100064,1,0.017750000000000002
100065,1,0.004833333333333333
100066,1,0.008
100067,1,0.00825
100068,1,0.00575
100069,1,0.010333333333333332
100070,1,0.01808333333333333
100071,1,0.027749999999999997
100072,1,0.014083333333333333
100073,1,0.01075
100074,1,0.017583333333333333
100075,1,0.007333333333333334
100076,1,0.05983333333333333
100077,1,0.017833333333333333
100078,1,0.0185
100079,1,0.017750000000000002
100080,1,0.010083333333333333
100081,1,0.016833333333333332
100082,1,0.020666666666666663
100083,1,0.07991666666666666
100084,1,0.091
100085,1,0.10625000000000001
100086,1,0.07866666666666666
100087,1,0.07466666666666667
100088,1,0.06258333333333332
100089,1,0.034
100090,1,0.03633333333333333
100091,1,0.015916666666666666
100092,1,0.0495
100093,1,0.06316666666666666
100094,1,0.07458333333333333
100095,1,0.028916666666666663
100096,1,0.029249999999999998
100097,1,0.026833333333333334
100098,1,0.022083333333333333
100099,1,0.02125
100100,1,0.015666666666666666
100101,1,0.014416666666666668
100102,1,0.02233333333333333
100103,1,0.025166666666666664
100104,1,0.018000000000000002
100105,1,0.0215
100106,1,0.0165
100107,1,0.004583333333333333
100108,1,0.04725
100109,1,0.006166666666666667
100110,1,0.009666666666666665
100111,1,0.02233333333333333
100112,1,0.02025
100113,1,0.00925
100114,1,0.01
100115,1,0.014166666666666668
100116,1,0.05583333333333334
100117,1,0.008583333333333333
100118,1,0.009750000000000002
100119,1,0.0016666666666666666
100120,1,0.017666666666666667
100121,1,0.01225
100122,1,0.017166666666666667
100123,1,0.029166666666666667
100124,1,0.01725
100125,1,0.02108333333333333
100126,1,0.023250000000000003
100127,1,0.010583333333333333
100128,1,0.013083333333333334
100129,1,0.02075
100130,1,0.04674999999999999
100131,1,0.058583333333333334
100132,1,0.11208333333333334
100133,1,0.013
100134,1,0.04733333333333334
100135,1,0.09058333333333332
100136,1,0.09758333333333334
100137,1,0.18866666666666665
100138,1,0.06933333333333333
100139,1,0.06733333333333333
100140,1,0.09383333333333334
100141,1,0.11008333333333334
100142,1,0.09325
100143,1,0.15508333333333332
100144,1,0.06075
100145,1,0.015583333333333334
100146,1,0.01808333333333333
100147,1,0.0245
100148,1,0.011583333333333333
100149,1,0.02225
100150,1,0.012916666666666667
100151,1,0.12391666666666665
100152,1,0.0
100153,1,0.095
100154,1,0.16383333333333333
100155,1,0.13683333333333333
100156,1,0.13141666666666665
100157,1,0.11233333333333333
100158,1,0.13625
100159,1,0.16766666666666669
100160,1,0.147
100161,1,0.16708333333333336
100162,1,0.15666666666666665
100163,1,0.14941666666666664
100164,1,0.12441666666666668
100165,1,0.19608333333333333
100166,1,0.03858333333333333
100167,1,0.09691666666666666
100168,1,0.0023333333333333335
100169,1,0.10016666666666667
100170,1,0.13025
100171,1,0.12908333333333333
100172,1,0.08491666666666667
100173,1,0.0026666666666666666
100174,1,0.05216666666666667
100175,1,0.07533333333333332
100176,1,0.050916666666666666
100177,1,0.048249999999999994
100178,1,0.09575
100179,1,0.10683333333333332
100180,1,0.07024999999999999
100181,1,0.089
100182,1,0.08533333333333333
100183,1,0.07258333333333333
100184,1,0.11541666666666667
100185,1,0.004583333333333333
100186,1,0.08891666666666666
100187,1,0.056
100188,1,0.017666666666666667
100189,1,0.006833333333333334
100190,1,0.14041666666666666
100191,1,0.03875
100192,1,0.03283333333333333
100193,1,0.06383333333333334
100194,1,0.0385
100195,1,0.07575
100196,1,0.0
100197,1,0.03233333333333333
100198,1,0.036916666666666674
100199,1,0.0
100200,1,0.12966666666666665
100201,1,0.030833333333333338
100202,1,0.07608333333333334
100203,1,0.03808333333333333
100204,1,0.03291666666666667
100205,1,0.06008333333333333
100206,1,0.15541666666666665
100207,1,0.08316666666666667
100208,1,0.11008333333333334
100209,1,0.049749999999999996
100210,1,0.0
100211,1,0.05566666666666667
100212,1,0.15758333333333333
100213,1,0.10200000000000001
100214,1,0.07466666666666667
100215,1,0.058249999999999996
100216,1,0.08708333333333335
100217,1,0.0
100218,1,0.01883333333333333
100219,1,0.0
100220,1,0.11675
100221,1,0.09708333333333334
100222,1,0.06991666666666667
100223,1,0.04533333333333333
100224,1,0.018000000000000002
100225,1,0.22225000000000003
100226,1,0.19316666666666665
100227,1,0.14658333333333332
100228,1,0.05866666666666667
100229,1,0.09949999999999999
100230,1,0.12008333333333335
100231,1,0.07841666666666666
100232,1,0.12466666666666668
100233,1,0.06441666666666666
100234,1,0.0
100235,1,0.0
100236,1,0.02308333333333333
100237,1,0.25725
100238,1,0.17491666666666666
100239,1,0.20775
100240,1,0.0415
100241,1,0.12958333333333333
100242,1,0.13183333333333333
100243,1,0.13258333333333333
100244,1,0.10858333333333332
100245,1,0.034916666666666665
100246,1,0.06433333333333333
100247,1,0.0
100248,1,0.0003333333333333333
100249,1,0.01725
100250,1,0.03991666666666666
100251,1,0.11483333333333332
100252,1,0.08175
100253,1,0.028583333333333332
100254,1,0.0
100255,1,0.0
100256,1,0.005083333333333334
100257,1,0.058499999999999996
100258,1,0.08441666666666665
100259,1,0.123
100260,1,0.06533333333333333
100261,1,0.08175
100262,1,0.006416666666666666
100263,1,0.06475
100264,1,0.048916666666666664
100265,1,0.09725
100266,1,0.042583333333333334
100267,1,0.0023333333333333335
100268,1,0.0003333333333333333
100269,1,0.019083333333333334
100270,1,0.0
100271,1,0.027666666666666666
100272,1,0.0
100273,1,0.0
100274,1,0.0
100275,1,0.0
100276,1,0.0
100277,1,0.0
100278,1,0.0
100279,1,0.0
100280,1,0.0
100281,1,0.0
100282,1,0.005666666666666666
100283,1,0.00041666666666666664
100284,1,0.107
100285,1,0.11649999999999999
100286,1,0.10841666666666666
100287,1,0.07300000000000001
100288,1,0.05541666666666667
100289,1,0.08675000000000001
100290,1,0.09533333333333333
100291,1,0.16633333333333333
100292,1,0.01808333333333333
100293,1,0.02025
100294,1,0.06766666666666667
100295,1,0.09033333333333332
100296,1,0.06649999999999999
100297,1,0.08716666666666667
100298,1,0.0725
100299,1,0.09408333333333334
100300,1,0.05633333333333333
100301,1,0.12408333333333332
100302,1,0.09216666666666667
100303,1,0.04858333333333334
100304,1,0.041
100305,1,0.02725
100306,1,0.056249999999999994
100307,1,0.08291666666666667
100308,1,0.021750000000000002
100309,1,0.06741666666666667
100310,1,0.029249999999999998
100311,1,0.017
100312,1,0.00475
100313,1,0.020833333333333332
100314,1,0.0035
100315,1,0.009333333333333334
100316,1,0.14433333333333334
100317,1,0.034666666666666665
100318,1,0.06275
100319,1,0.042916666666666665
100320,1,0.019416666666666665
100321,1,0.0029166666666666664
100322,1,0.04008333333333333
100323,1,0.006166666666666667
100324,1,0.006833333333333334
100325,1,0.05966666666666666
100326,1,0.06491666666666666
100327,1,0.08258333333333334
100328,1,0.002
100329,1,0.08524999999999999
100330,1,0.10083333333333333
100331,1,0.0315
100332,1,0.0
100333,1,0.08308333333333333
100334,1,0.08416666666666667
100335,1,0.07041666666666667
100336,1,0.09241666666666666
100337,1,0.09691666666666666
100338,1,0.09491666666666666
100339,1,0.14883333333333332
100340,1,0.17658333333333331
100341,1,0.12883333333333333
100342,1,0.0
100343,1,0.08383333333333334
100344,1,0.09533333333333333
100345,1,0.18758333333333332
100346,1,0.027666666666666666
100347,1,0.06833333333333333
100348,1,0.041833333333333333
100349,1,0.025750000000000002
100350,1,0.03924999999999999
100351,1,0.013583333333333333
100352,1,0.11016666666666666
100353,1,0.1355833333333333
100354,1,0.0
100355,1,0.0
100356,1,0.036833333333333336
100357,1,0.16
100358,1,0.0
100359,1,0.021416666666666664
100360,1,0.0
100361,1,0.07983333333333333
100362,1,0.263
100363,1,0.03766666666666666
100364,1,0.04508333333333333
100365,1,0.040749999999999995
100366,1,0.0
100367,1,0.007166666666666667
100368,1,0.005166666666666666
100369,1,0.005166666666666666
100370,1,0.010666666666666666
100371,1,0.008583333333333333
100372,1,0.002833333333333333
100373,1,0.006750000000000001
100374,1,0.016166666666666666
100375,1,0.01916666666666667
100376,1,0.0029166666666666664
100377,1,0.020333333333333335
100378,1,0.004333333333333333
100379,1,0.014583333333333334
100380,1,0.0031666666666666666
100381,1,0.005333333333333333
100382,1,0.0013333333333333333
100383,1,0.0007499999999999999
100384,1,0.0013333333333333333
100385,1,0.0
100386,1,0.005666666666666666
100387,1,0.01975
100388,1,0.0
100389,1,0.011583333333333333
100390,1,0.00425
100391,1,0.005833333333333333
100392,1,0.0013333333333333333
100393,1,0.0
100394,1,0.00525
100395,1,0.0035833333333333333
100396,1,0.00041666666666666664
100397,1,0.0015833333333333333
100398,1,0.0007499999999999999
100399,1,0.0006666666666666666
100400,1,0.007583333333333334
100401,1,0.0038333333333333327
100402,1,0.002
100403,1,0.005416666666666667
100404,1,0.0024166666666666664
100405,1,0.00175
100406,1,0.005666666666666666
100407,1,0.01325
100408,1,0.0031666666666666666
100409,1,0.008583333333333333
100410,1,0.012083333333333333
100411,1,0.007749999999999999
100412,1,0.024333333333333332
100413,1,0.0010833333333333333
100414,1,0.023416666666666665
100415,1,0.0
100416,1,0.00041666666666666664
100417,1,0.0006666666666666666
100418,1,0.006333333333333333
100419,1,0.0020833333333333333
100420,1,0.02383333333333333
100421,1,0.07658333333333334
100422,1,0.03158333333333333
100423,1,0.049166666666666664
100424,1,0.07541666666666666
100425,1,0.04941666666666667
100426,1,0.0685
100427,1,0.029333333333333336
100428,1,0.07758333333333334
100429,1,0.08308333333333333
100430,1,0.107
100431,1,0.10741666666666666
100432,1,0.10191666666666667
100433,1,0.30183333333333334
100434,1,0.08349999999999999
100435,1,0.046
100436,1,0.0455
100437,1,0.0685
100438,1,0.11708333333333333
100439,1,0.09575
100440,1,0.5843333333333333
100441,1,0.419
100442,1,0.35991666666666666
100443,1,0.30691666666666667
100444,1,0.13241666666666668
100445,1,0.07708333333333334
100446,1,0.07883333333333334
100447,1,0.1355833333333333
100448,1,0.16033333333333333
100449,1,0.12933333333333333
100450,1,0.08191666666666667
100451,1,0.05125
100452,1,0.05575
100453,1,0.11241666666666666
100454,1,0.13358333333333333
100455,1,0.121
100456,1,0.09283333333333334
100457,1,0.29683333333333334
100458,1,0.06608333333333333
100459,1,0.09458333333333334
100460,1,0.06991666666666667
100461,1,0.119
100462,1,0.024666666666666667
100463,1,0.0325
100464,1,0.06175
100465,1,0.08516666666666667
100466,1,0.08458333333333333
100467,1,0.121
100468,1,0.08808333333333333
100469,1,0.0009166666666666668
100470,1,0.055
100471,1,0.05424999999999999
100472,1,0.04674999999999999
100473,1,0.036833333333333336
100474,1,0.06666666666666667
100475,1,0.06991666666666667
100476,1,0.042083333333333334
100477,1,0.11658333333333333
100478,1,0.09949999999999999
100479,1,0.08175
