node,class,lambda0
100001,1,0.1675
100002,1,0.08083333333333334
100003,1,0.10083333333333333
100004,1,0.0
100005,1,0.9641666666666667
100006,1,0.4816666666666667
100007,1,0.6583333333333334
100008,1,1.3875000000000002
100009,1,0.895
100010,1,1.1608333333333334
100011,1,0.3141666666666667
100012,1,1.0783333333333334
100013,1,0.7258333333333334
100014,1,0.7266666666666666
100015,1,0.3608333333333334
100016,1,0.23750000000000002
100017,1,0.25750000000000006
100018,1,0.55
100019,1,0.25833333333333336
100020,1,0.2366666666666667
100021,1,0.5125
100022,1,0.7333333333333334
100023,1,1.1224999999999998
100024,1,0.36749999999999994
100025,1,0.4666666666666667
100026,1,0.2475
100027,1,0.23416666666666666
100028,1,0.6508333333333334
100029,1,0.057499999999999996
100030,1,0.135
100031,1,0.009166666666666667
100032,1,0.48500000000000004
100033,1,0.0525
100034,1,0.3825
100035,1,0.0475
100036,1,0.84
100037,1,0.06916666666666667
100038,1,0.20666666666666667
100039,1,0.06333333333333334
100040,1,0.4408333333333333
100041,1,0.2991666666666667
100042,1,0.20916666666666667
100043,1,0.19749999999999998
100044,1,0.17
100045,1,0.19416666666666665
100046,1,0.19166666666666668
100047,1,0.2558333333333333
100048,1,0.39083333333333337
100049,1,0.25916666666666666
100050,1,0.19666666666666666
100051,1,0.6066666666666668
100052,1,0.4766666666666667
100053,1,0.5783333333333334
100054,1,0.21083333333333332
100055,1,0.28
100056,1,0.4291666666666667
100057,1,0.26583333333333337
100058,1,0.5491666666666667
100059,1,0.12333333333333335
100060,1,0.4108333333333334
100061,1,0.19333333333333333
100062,1,0.43416666666666665
100063,1,0.3041666666666667
100064,1,0.17750000000000002
100065,1,0.04833333333333333
100066,1,0.08
100067,1,0.0825
100068,1,0.057499999999999996
100069,1,0.10333333333333333
100070,1,0.18083333333333332
100071,1,0.2775
100072,1,0.14083333333333334
100073,1,0.10749999999999998
100074,1,0.17583333333333334
100075,1,0.07333333333333333
100076,1,0.5983333333333334
100077,1,0.17833333333333334
100078,1,0.185
100079,1,0.17750000000000002
100080,1,0.10083333333333333
100081,1,0.16833333333333333
100082,1,0.20666666666666667
100083,1,0.7991666666666667
100084,1,0.9099999999999999
100085,1,1.0625
100086,1,0.7866666666666666
100087,1,0.7466666666666667
100088,1,0.6258333333333334
100089,1,0.34
100090,1,0.3633333333333333
100091,1,0.15916666666666668
100092,1,0.495
100093,1,0.6316666666666667
100094,1,0.7458333333333333
100095,1,0.2891666666666667
100096,1,0.29250000000000004
100097,1,0.2683333333333333
100098,1,0.22083333333333333
100099,1,0.21250000000000002
100100,1,0.15666666666666668
100101,1,0.14416666666666667
100102,1,0.2233333333333333
100103,1,0.2516666666666667
100104,1,0.18000000000000002
100105,1,0.21499999999999997
100106,1,0.165
100107,1,0.04583333333333334
100108,1,0.47250000000000003
100109,1,0.061666666666666675
100110,1,0.09666666666666666
100111,1,0.2233333333333333
100112,1,0.20249999999999999
100113,1,0.0925
100114,1,0.1
100115,1,0.1416666666666667
100116,1,0.5583333333333333
100117,1,0.08583333333333333
100118,1,0.0975
100119,1,0.01666666666666667
100120,1,0.17666666666666664
100121,1,0.1225
100122,1,0.17166666666666666
100123,1,0.2916666666666667
100124,1,0.1725
100125,1,0.21083333333333332
100126,1,0.23250000000000004
100127,1,0.10583333333333335
100128,1,0.13083333333333333
100129,1,0.20750000000000002
100130,1,0.46749999999999997
100131,1,0.5858333333333334
100132,1,1.1208333333333333
100133,1,0.13
100134,1,0.4733333333333334
100135,1,0.9058333333333333
100136,1,0.9758333333333334
100137,1,1.8866666666666667
100138,1,0.6933333333333334
100139,1,0.6733333333333333
100140,1,0.9383333333333334
100141,1,1.1008333333333333
100142,1,0.9325
100143,1,1.5508333333333333
100144,1,0.6075
100145,1,0.15583333333333335
100146,1,0.18083333333333332
100147,1,0.245
