node_id,node_type,x_km,y_km,facility_id,service,population
100001,Region,34.977048,138.381986,,,201.0
100002,Region,34.982187,138.382433,,,97.0
100003,Region,34.979336,138.386221,,,121.0
100004,Region,34.979284,138.383172,,,0.0
100005,Region,34.981999,138.378711,,,1157.0
100006,Region,34.98346,138.384302,,,578.0
100007,Region,34.982699,138.388257,,,790.0
100008,Region,34.985662,138.389567,,,1665.0
100009,Region,34.987479,138.392541,,,1074.0
100010,Region,34.989576,138.389175,,,1393.0
100011,Region,34.976064,138.387629,,,377.0
100012,Region,34.977501,138.389297,,,1294.0
100013,Region,34.979777,138.389845,,,871.0
100014,Region,34.981705,138.392321,,,872.0
100015,Region,34.983005,138.390997,,,433.0
100016,Region,34.983839,138.392894,,,285.0
100017,Region,34.985188,138.393969,,,309.0
100018,Region,34.982633,138.396454,,,660.0
100019,Region,34.981854,138.395279,,,310.0
100020,Region,34.978558,138.398493,,,284.0
100021,Region,34.978914,138.401711,,,615.0
100022,Region,34.981073,138.400961,,,880.0
100023,Region,34.979409,138.395054,,,1347.0
100024,Region,34.978047,138.392288,,,441.0
100025,Region,34.977197,138.39554,,,560.0
100026,Region,34.976743,138.397961,,,297.0
100027,Region,34.975489,138.394634,,,281.0
100028,Region,34.974993,138.389737,,,781.0
100029,Region,34.974433,138.391725,,,69.0
100030,Region,34.973804,138.387351,,,162.0
100031,Region,34.971755,138.38867,,,11.0
100032,Region,34.975526,138.380298,,,582.0
100033,Region,34.974255,138.383292,,,63.0
100034,Region,34.974694,138.379801,,,459.0
100035,Region,34.973349,138.382962,,,57.0
100036,Region,34.972771,138.380642,,,1008.0
100037,Region,34.972497,138.385539,,,83.0
100038,Region,34.971451,138.383792,,,248.0
100039,Region,34.972356,138.382257,,,76.0
100040,Region,34.970635,138.382239,,,529.0
100041,Region,34.969755,138.380473,,,359.0
100042,Region,34.969014,138.382208,,,251.0
100043,Region,34.971342,138.378926,,,237.0
100044,Region,34.973488,138.379536,,,204.0
100045,Region,34.972221,138.378836,,,233.0
100046,Region,34.973914,138.378576,,,230.0
100047,Region,34.972564,138.377687,,,307.0
100048,Region,34.970662,138.378333,,,469.0
100049,Region,34.969312,138.377495,,,311.0
100050,Region,34.967648,138.376959,,,236.0
100051,Region,34.96632,138.376134,,,728.0
100052,Region,34.964996,138.375048,,,572.0
100053,Region,34.963171,138.373425,,,694.0
100054,Region,34.968189,138.376045,,,253.0
100055,Region,34.968646,138.378864,,,336.0
100056,Region,34.968238,138.380685,,,515.0
100057,Region,34.967491,138.380035,,,319.0
100058,Region,34.966602,138.379298,,,659.0
100059,Region,34.967227,138.377898,,,148.0
100060,Region,34.964695,138.37776,,,493.0
100061,Region,34.963359,138.371395,,,232.0
100062,Region,34.961006,138.369347,,,521.0
100063,Region,34.962246,138.375379,,,365.0
100064,Region,34.959843,138.372434,,,213.0
100065,Region,34.975672,138.378347,,,58.0
100066,Region,34.97498,138.377639,,,96.0
100067,Region,34.974079,138.377452,,,99.0
100068,Region,34.973269,138.376994,,,69.0
100069,Region,34.972413,138.376402,,,124.0
100070,Region,34.9714,138.375349,,,217.0
100071,Region,34.970136,138.37433,,,333.0
100072,Region,34.968866,138.373765,,,169.0
100073,Region,34.968015,138.373055,,,129.0
100074,Region,34.966614,138.372527,,,211.0
100075,Region,34.965105,138.371442,,,88.0
100076,Region,34.969383,138.375563,,,718.0
100077,Region,34.966318,138.373592,,,214.0
100078,Region,34.964964,138.372711,,,222.0
100079,Region,34.974502,138.376154,,,213.0
100080,Region,34.973398,138.375547,,,121.0
100081,Region,34.972539,138.374972,,,202.0
100082,Region,34.971023,138.373509,,,248.0
100083,Region,34.96782,138.371383,,,959.0
100084,Region,34.974782,138.362609,,,1092.0
100085,Region,34.972776,138.363788,,,1275.0
100086,Region,34.970903,138.364437,,,944.0
100087,Region,34.969577,138.366112,,,896.0
100088,Region,34.967575,138.364918,,,751.0
100089,Region,34.966808,138.368997,,,408.0
100090,Region,34.964445,138.366439,,,436.0
100091,Region,34.964056,138.370172,,,191.0
100092,Region,34.976041,138.372751,,,594.0
100093,Region,34.97545,138.371887,,,758.0
100094,Region,34.974862,138.37087,,,895.0
100095,Region,34.973715,138.372234,,,347.0
100096,Region,34.973233,138.371864,,,351.0
100097,Region,34.97255,138.371903,,,322.0
100098,Region,34.972058,138.371685,,,265.0
100099,Region,34.971297,138.371772,,,255.0
100100,Region,34.971091,138.371203,,,188.0
