node_id,class,service_type,m,mu
100001,1,IS,,1.0641769503159253
100001,2,IS,,1.0641769503159253
100001,3,IS,,1.0641769503159253
100001,4,IS,,1.0641769503159253
100002,1,IS,,1.0218087475965698
100002,2,IS,,1.0218087475965698
100002,3,IS,,1.0218087475965698
100002,4,IS,,1.0218087475965698
100003,1,IS,,1.0757479378980754
100003,2,IS,,1.0757479378980754
100003,3,IS,,1.0757479378980754
100003,4,IS,,1.0757479378980754
100004,1,IS,,1.0473270892166733
100004,2,IS,,1.0473270892166733
100004,3,IS,,1.0473270892166733
100004,4,IS,,1.0473270892166733
100005,1,IS,,1.07003428205447
100005,2,IS,,1.07003428205447
100005,3,IS,,1.07003428205447
100005,4,IS,,1.07003428205447
100006,1,IS,,1.1010463443921463
100006,2,IS,,1.1010463443921463
100006,3,IS,,1.1010463443921463
100006,4,IS,,1.1010463443921463
100007,1,IS,,1.08407201115115
100007,2,IS,,1.08407201115115
100007,3,IS,,1.08407201115115
100007,4,IS,,1.08407201115115
100008,1,IS,,1.0722988656308166
100008,2,IS,,1.0722988656308166
100008,3,IS,,1.0722988656308166
100008,4,IS,,1.0722988656308166
100009,1,IS,,1.0441600472618149
100009,2,IS,,1.0441600472618149
100009,3,IS,,1.0441600472618149
100009,4,IS,,1.0441600472618149
100010,1,IS,,1.0300812765604614
100010,2,IS,,1.0300812765604614
100010,3,IS,,1.0300812765604614
100010,4,IS,,1.0300812765604614
100011,1,IS,,1.0868838154547953
100011,2,IS,,1.0868838154547953
100011,3,IS,,1.0868838154547953
100011,4,IS,,1.0868838154547953
100012,1,IS,,1.0637822529920058
100012,2,IS,,1.0637822529920058
100012,3,IS,,1.0637822529920058
100012,4,IS,,1.0637822529920058
100013,1,IS,,1.078505517283436
100013,2,IS,,1.078505517283436
100013,3,IS,,1.078505517283436
100013,4,IS,,1.078505517283436
100014,1,IS,,1.008129274516612
100014,2,IS,,1.008129274516612
100014,3,IS,,1.008129274516612
100014,4,IS,,1.008129274516612
100015,1,IS,,1.0755722541046324
100015,2,IS,,1.0755722541046324
100015,3,IS,,1.0755722541046324
100015,4,IS,,1.0755722541046324
100016,1,IS,,1.0894873134965575
100016,2,IS,,1.0894873134965575
100016,3,IS,,1.0894873134965575
100016,4,IS,,1.0894873134965575
100017,1,IS,,1.0803970802561647
100017,2,IS,,1.0803970802561647
100017,3,IS,,1.0803970802561647
100017,4,IS,,1.0803970802561647
100018,1,IS,,1.0328372914343138
100018,2,IS,,1.0328372914343138
100018,3,IS,,1.0328372914343138
100018,4,IS,,1.0328372914343138
100019,1,IS,,1.0392466954996677
100019,2,IS,,1.0392466954996677
100019,3,IS,,1.0392466954996677
100019,4,IS,,1.0392466954996677
100020,1,IS,,1.0147481964143306
100020,2,IS,,1.0147481964143306
100020,3,IS,,1.0147481964143306
100020,4,IS,,1.0147481964143306
100021,1,IS,,0.8830504679944603
100021,2,IS,,0.8830504679944603
100021,3,IS,,0.8830504679944603
100021,4,IS,,0.8830504679944603
100022,1,IS,,0.9530820258583945
100022,2,IS,,0.9530820258583945
100022,3,IS,,0.9530820258583945
100022,4,IS,,0.9530820258583945
100023,1,IS,,1.0145659847602484
100023,2,IS,,1.0145659847602484
100023,3,IS,,1.0145659847602484
100023,4,IS,,1.0145659847602484
100024,1,IS,,1.064522371575897
100024,2,IS,,1.064522371575897
100024,3,IS,,1.064522371575897
100024,4,IS,,1.064522371575897
100025,1,IS,,1.0635021506684526
100025,2,IS,,1.0635021506684526
100025,3,IS,,1.0635021506684526
100025,4,IS,,1.0635021506684526
100026,1,IS,,1.0487164013888477
100026,2,IS,,1.0487164013888477
100026,3,IS,,1.0487164013888477
100026,4,IS,,1.0487164013888477
100027,1,IS,,1.0907283010733997
100027,2,IS,,1.0907283010733997
100027,3,IS,,1.0907283010733997
100027,4,IS,,1.0907283010733997
100028,1,IS,,1.102274547210828
100028,2,IS,,1.102274547210828
100028,3,IS,,1.102274547210828
100028,4,IS,,1.102274547210828
100029,1,IS,,1.0932225329458407
100029,2,IS,,1.0932225329458407
100029,3,IS,,1.0932225329458407
100029,4,IS,,1.0932225329458407
100030,1,IS,,1.0723538120905904
100030,2,IS,,1.0723538120905904
100030,3,IS,,1.0723538120905904
100030,4,IS,,1.0723538120905904
100031,1,IS,,1.0164798362045369
100031,2,IS,,1.0164798362045369
100031,3,IS,,1.0164798362045369
100031,4,IS,,1.0164798362045369
100032,1,IS,,1.0574011166280213
100032,2,IS,,1.0574011166280213
100032,3,IS,,1.0574011166280213
100032,4,IS,,1.0574011166280213
100033,1,IS,,1.0712316909274657
100033,2,IS,,1.0712316909274657
100033,3,IS,,1.0712316909274657
100033,4,IS,,1.0712316909274657
100034,1,IS,,1.0541035508439338
100034,2,IS,,1.0541035508439338
100034,3,IS,,1.0541035508439338
100034,4,IS,,1.0541035508439338
100035,1,IS,,1.0638238401544342
